trial_index,condition,trial_type,category,pair,left_image,right_image,correct_response,randomize_lr
26,5,category,washer,washer1_washer2,images/category/washer1.png,images/category/washer2.png,different,True
27,5,identity,barrel,barrel1_vs_barrel1,images/identity/barrel1.png,images/identity/barrel1.png,same,False
28,5,identity,fishingrod,fishingrod1_vs_fishingrod1,images/identity/fishingrod1.png,images/identity/fishingrod1.png,same,False
29,5,identity,bottleopener,bottleopener1_vs_bottleopener1,images/identity/bottleopener1.png,images/identity/bottleopener1.png,same,False
30,5,identity,handmirror,handmirror1_vs_handmirror1,images/identity/handmirror1.png,images/identity/handmirror1.png,same,False
31,5,category,wheelbarrow,wheelbarrow1_wheelbarrow4,images/category/wheelbarrow1.png,images/category/wheelbarrow4.png,different,True
32,5,category,washer,washer1_washer2,images/category/washer1.png,images/category/washer2.png,different,True
33,5,category,washer,washer2_washer4,images/category/washer2.png,images/category/washer4.png,different,True
34,5,identity,bottleopener,bottleopener1_vs_bottleopener1,images/identity/bottleopener1.png,images/identity/bottleopener1.png,same,False
35,5,identity,barrel,barrel1_vs_barrel1,images/identity/barrel1.png,images/identity/barrel1.png,same,False
36,5,category,wheelbarrow,wheelbarrow2_wheelbarrow3,images/category/wheelbarrow2.png,images/category/wheelbarrow3.png,different,True
37,5,category,wheelbarrow,wheelbarrow2_wheelbarrow3,images/category/wheelbarrow2.png,images/category/wheelbarrow3.png,different,True
38,5,category,washer,washer3_washer4,images/category/washer3.png,images/category/washer4.png,different,True
39,5,identity,measuringtape,measuringtape1_vs_measuringtape1,images/identity/measuringtape1.png,images/identity/measuringtape1.png,same,False
40,5,category,wheelbarrow,wheelbarrow1_wheelbarrow3,images/category/wheelbarrow1.png,images/category/wheelbarrow3.png,different,True
41,5,category,wheelbarrow,wheelbarrow2_wheelbarrow3,images/category/wheelbarrow2.png,images/category/wheelbarrow3.png,different,True
42,5,category,wheelbarrow,wheelbarrow2_wheelbarrow4,images/category/wheelbarrow2.png,images/category/wheelbarrow4.png,different,True
43,5,identity,fishingrod,fishingrod1_vs_fishingrod1,images/identity/fishingrod1.png,images/identity/fishingrod1.png,same,False
44,5,identity,handmirror,handmirror1_vs_handmirror1,images/identity/handmirror1.png,images/identity/handmirror1.png,same,False
45,5,category,wheelbarrow,wheelbarrow2_wheelbarrow4,images/category/wheelbarrow2.png,images/category/wheelbarrow4.png,different,True
46,5,category,wheelbarrow,wheelbarrow2_wheelbarrow4,images/category/wheelbarrow2.png,images/category/wheelbarrow4.png,different,True
47,5,category,wheelbarrow,wheelbarrow1_wheelbarrow4,images/category/wheelbarrow1.png,images/category/wheelbarrow4.png,different,True
48,5,category,washer,washer1_washer2,images/category/washer1.png,images/category/washer2.png,different,True
49,5,identity,ladder,ladder1_vs_ladder1,images/identity/ladder1.png,images/identity/ladder1.png,same,False
50,5,identity,bottleopener,bottleopener1_vs_bottleopener1,images/identity/bottleopener1.png,images/identity/bottleopener1.png,same,False
51,5,category,wheelbarrow,wheelbarrow3_wheelbarrow4,images/category/wheelbarrow3.png,images/category/wheelbarrow4.png,different,True
52,5,category,washer,washer1_washer2,images/category/washer1.png,images/category/washer2.png,different,True
53,5,category,wheelbarrow,wheelbarrow1_wheelbarrow2,images/category/wheelbarrow1.png,images/category/wheelbarrow2.png,different,True
54,5,category,washer,washer3_washer4,images/category/washer3.png,images/category/washer4.png,different,True
55,5,identity,pie,pie1_vs_pie1,images/identity/pie1.png,images/identity/pie1.png,same,False
56,5,identity,pill,pill1_vs_pill1,images/identity/pill1.png,images/identity/pill1.png,same,False
57,5,category,washer,washer2_washer4,images/category/washer2.png,images/category/washer4.png,different,True
58,5,identity,fishingrod,fishingrod1_vs_fishingrod1,images/identity/fishingrod1.png,images/identity/fishingrod1.png,same,False
59,5,identity,bottleopener,bottleopener1_vs_bottleopener1,images/identity/bottleopener1.png,images/identity/bottleopener1.png,same,False
60,5,identity,hotairballoon,hotairballoon1_vs_hotairballoon1,images/identity/hotairballoon1.png,images/identity/hotairballoon1.png,same,False
61,5,identity,barrel,barrel1_vs_barrel1,images/identity/barrel1.png,images/identity/barrel1.png,same,False
62,5,identity,bottleopener,bottleopener1_vs_bottleopener1,images/identity/bottleopener1.png,images/identity/bottleopener1.png,same,False
63,5,identity,fishingrod,fishingrod1_vs_fishingrod1,images/identity/fishingrod1.png,images/identity/fishingrod1.png,same,False
64,5,identity,pill,pill1_vs_pill1,images/identity/pill1.png,images/identity/pill1.png,same,False
65,5,identity,handmirror,handmirror1_vs_handmirror1,images/identity/handmirror1.png,images/identity/handmirror1.png,same,False
66,5,identity,measuringtape,measuringtape1_vs_measuringtape1,images/identity/measuringtape1.png,images/identity/measuringtape1.png,same,False
67,5,category,washer,washer1_washer4,images/category/washer1.png,images/category/washer4.png,different,True
68,5,category,wheelbarrow,wheelbarrow3_wheelbarrow4,images/category/wheelbarrow3.png,images/category/wheelbarrow4.png,different,True
69,5,identity,ladder,ladder1_vs_ladder1,images/identity/ladder1.png,images/identity/ladder1.png,same,False
70,5,identity,hotairballoon,hotairballoon1_vs_hotairballoon1,images/identity/hotairballoon1.png,images/identity/hotairballoon1.png,same,False
71,5,identity,pie,pie1_vs_pie1,images/identity/pie1.png,images/identity/pie1.png,same,False
72,5,identity,pie,pie1_vs_pie1,images/identity/pie1.png,images/identity/pie1.png,same,False
73,5,category,washer,washer2_washer4,images/category/washer2.png,images/category/washer4.png,different,True
74,5,identity,hotairballoon,hotairballoon1_vs_hotairballoon1,images/identity/hotairballoon1.png,images/identity/hotairballoon1.png,same,False
75,5,identity,pill,pill1_vs_pill1,images/identity/pill1.png,images/identity/pill1.png,same,False
76,5,category,wheelbarrow,wheelbarrow1_wheelbarrow2,images/category/wheelbarrow1.png,images/category/wheelbarrow2.png,different,True
77,5,category,washer,washer2_washer4,images/category/washer2.png,images/category/washer4.png,different,True
78,5,identity,ladder,ladder1_vs_ladder1,images/identity/ladder1.png,images/identity/ladder1.png,same,False
79,5,identity,fridge,fridge1_vs_fridge1,images/identity/fridge1.png,images/identity/fridge1.png,same,False
80,5,identity,handmirror,handmirror1_vs_handmirror1,images/identity/handmirror1.png,images/identity/handmirror1.png,same,False
81,5,category,washer,washer3_washer4,images/category/washer3.png,images/category/washer4.png,different,True
82,5,identity,barrel,barrel1_vs_barrel1,images/identity/barrel1.png,images/identity/barrel1.png,same,False
83,5,category,wheelbarrow,wheelbarrow1_wheelbarrow2,images/category/wheelbarrow1.png,images/category/wheelbarrow2.png,different,True
84,5,category,wheelbarrow,wheelbarrow1_wheelbarrow4,images/category/wheelbarrow1.png,images/category/wheelbarrow4.png,different,True
85,5,category,washer,washer3_washer4,images/category/washer3.png,images/category/washer4.png,different,True
86,5,identity,measuringtape,measuringtape1_vs_measuringtape1,images/identity/measuringtape1.png,images/identity/measuringtape1.png,same,False
87,5,category,washer,washer1_washer3,images/category/washer1.png,images/category/washer3.png,different,True
88,5,category,washer,washer1_washer3,images/category/washer1.png,images/category/washer3.png,different,True
89,5,category,washer,washer2_washer3,images/category/washer2.png,images/category/washer3.png,different,True
90,5,identity,ladder,ladder1_vs_ladder1,images/identity/ladder1.png,images/identity/ladder1.png,same,False
91,5,category,wheelbarrow,wheelbarrow2_wheelbarrow3,images/category/wheelbarrow2.png,images/category/wheelbarrow3.png,different,True
92,5,category,wheelbarrow,wheelbarrow1_wheelbarrow4,images/category/wheelbarrow1.png,images/category/wheelbarrow4.png,different,True
93,5,identity,fridge,fridge1_vs_fridge1,images/identity/fridge1.png,images/identity/fridge1.png,same,False
94,5,identity,pie,pie1_vs_pie1,images/identity/pie1.png,images/identity/pie1.png,same,False
95,5,identity,barrel,barrel1_vs_barrel1,images/identity/barrel1.png,images/identity/barrel1.png,same,False
96,5,identity,pie,pie1_vs_pie1,images/identity/pie1.png,images/identity/pie1.png,same,False
97,5,category,washer,washer1_washer4,images/category/washer1.png,images/category/washer4.png,different,True
98,5,category,washer,washer1_washer3,images/category/washer1.png,images/category/washer3.png,different,True
99,5,identity,pill,pill1_vs_pill1,images/identity/pill1.png,images/identity/pill1.png,same,False
100,5,category,washer,washer3_washer4,images/category/washer3.png,images/category/washer4.png,different,True
101,5,category,wheelbarrow,wheelbarrow2_wheelbarrow3,images/category/wheelbarrow2.png,images/category/wheelbarrow3.png,different,True
102,5,identity,handmirror,handmirror1_vs_handmirror1,images/identity/handmirror1.png,images/identity/handmirror1.png,same,False
103,5,category,washer,washer1_washer4,images/category/washer1.png,images/category/washer4.png,different,True
104,5,category,wheelbarrow,wheelbarrow1_wheelbarrow2,images/category/wheelbarrow1.png,images/category/wheelbarrow2.png,different,True
105,5,category,wheelbarrow,wheelbarrow1_wheelbarrow3,images/category/wheelbarrow1.png,images/category/wheelbarrow3.png,different,True
106,5,category,wheelbarrow,wheelbarrow2_wheelbarrow3,images/category/wheelbarrow2.png,images/category/wheelbarrow3.png,different,True
107,5,identity,fishingrod,fishingrod1_vs_fishingrod1,images/identity/fishingrod1.png,images/identity/fishingrod1.png,same,False
108,5,category,wheelbarrow,wheelbarrow3_wheelbarrow4,images/category/wheelbarrow3.png,images/category/wheelbarrow4.png,different,True
109,5,category,washer,washer2_washer3,images/category/washer2.png,images/category/washer3.png,different,True
110,5,identity,measuringtape,measuringtape1_vs_measuringtape1,images/identity/measuringtape1.png,images/identity/measuringtape1.png,same,False
111,5,category,wheelbarrow,wheelbarrow1_wheelbarrow3,images/category/wheelbarrow1.png,images/category/wheelbarrow3.png,different,True
112,5,identity,hotairballoon,hotairballoon1_vs_hotairballoon1,images/identity/hotairballoon1.png,images/identity/hotairballoon1.png,same,False
113,5,identity,ladder,ladder1_vs_ladder1,images/identity/ladder1.png,images/identity/ladder1.png,same,False
114,5,category,washer,washer1_washer2,images/category/washer1.png,images/category/washer2.png,different,True
115,5,identity,pill,pill1_vs_pill1,images/identity/pill1.png,images/identity/pill1.png,same,False
116,5,identity,pill,pill1_vs_pill1,images/identity/pill1.png,images/identity/pill1.png,same,False
117,5,identity,measuringtape,measuringtape1_vs_measuringtape1,images/identity/measuringtape1.png,images/identity/measuringtape1.png,same,False
118,5,category,wheelbarrow,wheelbarrow2_wheelbarrow4,images/category/wheelbarrow2.png,images/category/wheelbarrow4.png,different,True
119,5,category,wheelbarrow,wheelbarrow1_wheelbarrow3,images/category/wheelbarrow1.png,images/category/wheelbarrow3.png,different,True
120,5,identity,measuringtape,measuringtape1_vs_measuringtape1,images/identity/measuringtape1.png,images/identity/measuringtape1.png,same,False
121,5,category,washer,washer2_washer4,images/category/washer2.png,images/category/washer4.png,different,True
122,5,identity,handmirror,handmirror1_vs_handmirror1,images/identity/handmirror1.png,images/identity/handmirror1.png,same,False
123,5,identity,bottleopener,bottleopener1_vs_bottleopener1,images/identity/bottleopener1.png,images/identity/bottleopener1.png,same,False
124,5,category,wheelbarrow,wheelbarrow1_wheelbarrow2,images/category/wheelbarrow1.png,images/category/wheelbarrow2.png,different,True
125,5,category,washer,washer2_washer3,images/category/washer2.png,images/category/washer3.png,different,True
126,5,identity,fridge,fridge1_vs_fridge1,images/identity/fridge1.png,images/identity/fridge1.png,same,False
127,5,category,wheelbarrow,wheelbarrow2_wheelbarrow4,images/category/wheelbarrow2.png,images/category/wheelbarrow4.png,different,True
128,5,category,washer,washer1_washer2,images/category/washer1.png,images/category/washer2.png,different,True
129,5,identity,pie,pie1_vs_pie1,images/identity/pie1.png,images/identity/pie1.png,same,False
130,5,category,wheelbarrow,wheelbarrow1_wheelbarrow2,images/category/wheelbarrow1.png,images/category/wheelbarrow2.png,different,True
131,5,category,wheelbarrow,wheelbarrow3_wheelbarrow4,images/category/wheelbarrow3.png,images/category/wheelbarrow4.png,different,True
132,5,category,washer,washer3_washer4,images/category/washer3.png,images/category/washer4.png,different,True
133,5,identity,pie,pie1_vs_pie1,images/identity/pie1.png,images/identity/pie1.png,same,False
134,5,identity,hotairballoon,hotairballoon1_vs_hotairballoon1,images/identity/hotairballoon1.png,images/identity/hotairballoon1.png,same,False
135,5,category,washer,washer2_washer3,images/category/washer2.png,images/category/washer3.png,different,True
136,5,identity,handmirror,handmirror1_vs_handmirror1,images/identity/handmirror1.png,images/identity/handmirror1.png,same,False
137,5,category,washer,washer2_washer4,images/category/washer2.png,images/category/washer4.png,different,True
138,5,category,washer,washer1_washer3,images/category/washer1.png,images/category/washer3.png,different,True
139,5,category,washer,washer2_washer3,images/category/washer2.png,images/category/washer3.png,different,True
140,5,category,wheelbarrow,wheelbarrow2_wheelbarrow4,images/category/wheelbarrow2.png,images/category/wheelbarrow4.png,different,True
141,5,category,washer,washer3_washer4,images/category/washer3.png,images/category/washer4.png,different,True
142,5,category,washer,washer2_washer3,images/category/washer2.png,images/category/washer3.png,different,True
143,5,identity,barrel,barrel1_vs_barrel1,images/identity/barrel1.png,images/identity/barrel1.png,same,False
144,5,category,washer,washer1_washer2,images/category/washer1.png,images/category/washer2.png,different,True
145,5,category,wheelbarrow,wheelbarrow1_wheelbarrow2,images/category/wheelbarrow1.png,images/category/wheelbarrow2.png,different,True
146,5,identity,fishingrod,fishingrod1_vs_fishingrod1,images/identity/fishingrod1.png,images/identity/fishingrod1.png,same,False
147,5,category,wheelbarrow,wheelbarrow3_wheelbarrow4,images/category/wheelbarrow3.png,images/category/wheelbarrow4.png,different,True
148,5,category,washer,washer2_washer3,images/category/washer2.png,images/category/washer3.png,different,True
149,5,category,wheelbarrow,wheelbarrow1_wheelbarrow3,images/category/wheelbarrow1.png,images/category/wheelbarrow3.png,different,True
150,5,category,washer,washer1_washer3,images/category/washer1.png,images/category/washer3.png,different,True
151,5,identity,bottleopener,bottleopener1_vs_bottleopener1,images/identity/bottleopener1.png,images/identity/bottleopener1.png,same,False
152,5,category,wheelbarrow,wheelbarrow1_wheelbarrow4,images/category/wheelbarrow1.png,images/category/wheelbarrow4.png,different,True
153,5,identity,fridge,fridge1_vs_fridge1,images/identity/fridge1.png,images/identity/fridge1.png,same,False
154,5,category,wheelbarrow,wheelbarrow2_wheelbarrow3,images/category/wheelbarrow2.png,images/category/wheelbarrow3.png,different,True
155,5,identity,pill,pill1_vs_pill1,images/identity/pill1.png,images/identity/pill1.png,same,False
156,5,identity,fridge,fridge1_vs_fridge1,images/identity/fridge1.png,images/identity/fridge1.png,same,False
157,5,identity,measuringtape,measuringtape1_vs_measuringtape1,images/identity/measuringtape1.png,images/identity/measuringtape1.png,same,False
158,5,category,wheelbarrow,wheelbarrow1_wheelbarrow4,images/category/wheelbarrow1.png,images/category/wheelbarrow4.png,different,True
159,5,identity,fishingrod,fishingrod1_vs_fishingrod1,images/identity/fishingrod1.png,images/identity/fishingrod1.png,same,False
160,5,identity,ladder,ladder1_vs_ladder1,images/identity/ladder1.png,images/identity/ladder1.png,same,False
161,5,category,washer,washer1_washer4,images/category/washer1.png,images/category/washer4.png,different,True
162,5,category,washer,washer1_washer4,images/category/washer1.png,images/category/washer4.png,different,True
163,5,category,wheelbarrow,wheelbarrow1_wheelbarrow4,images/category/wheelbarrow1.png,images/category/wheelbarrow4.png,different,True
164,5,category,wheelbarrow,wheelbarrow2_wheelbarrow4,images/category/wheelbarrow2.png,images/category/wheelbarrow4.png,different,True
165,5,identity,barrel,barrel1_vs_barrel1,images/identity/barrel1.png,images/identity/barrel1.png,same,False
166,5,category,wheelbarrow,wheelbarrow1_wheelbarrow4,images/category/wheelbarrow1.png,images/category/wheelbarrow4.png,different,True
167,5,identity,fridge,fridge1_vs_fridge1,images/identity/fridge1.png,images/identity/fridge1.png,same,False
168,5,identity,pill,pill1_vs_pill1,images/identity/pill1.png,images/identity/pill1.png,same,False
169,5,identity,hotairballoon,hotairballoon1_vs_hotairballoon1,images/identity/hotairballoon1.png,images/identity/hotairballoon1.png,same,False
170,5,identity,fridge,fridge1_vs_fridge1,images/identity/fridge1.png,images/identity/fridge1.png,same,False
171,5,category,wheelbarrow,wheelbarrow3_wheelbarrow4,images/category/wheelbarrow3.png,images/category/wheelbarrow4.png,different,True
172,5,category,wheelbarrow,wheelbarrow2_wheelbarrow3,images/category/wheelbarrow2.png,images/category/wheelbarrow3.png,different,True
173,5,identity,hotairballoon,hotairballoon1_vs_hotairballoon1,images/identity/hotairballoon1.png,images/identity/hotairballoon1.png,same,False
174,5,category,washer,washer1_washer3,images/category/washer1.png,images/category/washer3.png,different,True
175,5,identity,pie,pie1_vs_pie1,images/identity/pie1.png,images/identity/pie1.png,same,False
176,5,category,washer,washer2_washer4,images/category/washer2.png,images/category/washer4.png,different,True
